Date,USD,GBP,EUR,JPY100,CHF,AUD,CAD,SGD,HKD100,PHP100,THB100,TWD100,KRW100,IDR100,SAR100,SDR,CNY,BND,VND100,KHR100,NZD,MMK100,INR100,AED100,PKR100,NPR100,EGP
2025-02-05,4.43,5.5262,4.5983,2.8912,4.8953,2.769,3.0911,3.2757,56.8762,7.6268,13.1376,13.4745,0.3057,0.0272,118.1144,5.7656,0.6082,3.2757,0.0176,0.1099,2.5067,0.2116,5.0832,120.623,1.5887,3.177,0.0881
2025-02-06,4.4275,5.5319,4.6011,2.9083,4.9061,2.7736,3.0888,3.279,56.8536,7.6179,13.1477,13.4749,0.3055,0.0271,118.0446,5.7903,0.6078,3.279,0.0175,0.1099,2.5111,0.2115,5.0587,120.5418,1.5869,3.1611,0.088
2025-02-07,4.441,5.5193,4.6098,2.9297,4.9004,2.7923,3.1019,3.2866,57.0401,7.6559,13.1878,13.5376,0.3069,0.0272,118.4078,5.7934,0.6096,3.2866,0.0175,0.1102,2.5232,0.2121,5.0785,120.9093,1.5919,3.1737,0.0883
2025-02-10,4.468,5.5388,4.6072,2.9409,4.9023,2.8005,3.115,3.2972,57.3633,7.6882,13.1916,13.6037,0.3073,0.0273,119.1276,5.8354,0.6115,3.2972,0.0176,0.1109,2.5255,0.2134,5.0832,121.6478,1.6017,3.1767,0.0889
2025-02-12,4.465,5.5591,4.6266,2.9062,4.8886,2.8125,3.1252,3.2987,57.3082,7.6745,13.0919,13.5942,0.3074,0.0273,119.0635,5.8163,0.6109,3.2987,0.0174,0.111,2.5288,0.2133,5.1604,121.5611,1.6005,3.2252,0.0885
2025-02-13,4.4605,5.5651,4.6474,2.8918,4.8904,2.8054,3.1258,3.3036,57.2781,7.6621,13.1462,13.6036,0.3075,0.0273,118.9276,5.8191,0.6115,3.3036,0.0175,0.111,2.5204,0.213,5.1384,121.4386,1.5988,3.2111,0.0881
2025-02-14,4.4425,5.5791,4.6464,2.9066,4.914,2.809,3.1324,3.3054,57.0524,7.6677,13.1911,13.5595,0.3077,0.0273,118.4477,5.8011,0.6098,3.3054,0.0175,0.1106,2.528,0.2122,5.1153,120.9485,1.5912,3.1971,0.0877
2025-02-17,4.4295,5.5774,4.6488,2.9214,4.9198,2.8194,3.1256,3.3087,56.9334,7.6476,13.1478,13.5475,0.3075,0.0273,118.0996,5.8046,0.6112,3.3087,0.0174,0.1103,2.5412,0.2116,5.1059,120.6127,1.5862,3.1912,0.0875
2025-02-18,4.446,5.6035,4.6519,2.9234,4.9274,2.8234,3.1312,3.3101,57.155,7.6372,13.1811,13.5747,0.308,0.0273,118.5442,5.8263,0.6112,3.3101,0.0174,0.1105,2.5384,0.2123,5.1149,121.0455,1.5924,3.1959,0.0879
2025-02-19,4.442,5.6043,4.6426,2.9244,4.9173,2.8262,3.1324,3.31,57.1348,7.6435,13.183,13.5638,0.3087,0.0272,118.4407,5.8222,0.6099,3.31,0.0174,0.1102,2.5402,0.2122,5.1093,120.9366,1.59,3.1927,0.0877
2025-02-20,4.4275,5.5753,4.6185,2.9435,4.9031,2.8154,3.1129,3.3042,56.9161,7.6307,13.1546,13.5168,0.308,0.0271,118.0541,5.7949,0.6092,3.3042,0.0173,0.1099,2.5301,0.2115,5.0998,120.5434,1.5835,3.1871,0.0874
